"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","kingdom","supergroup","division","class","order","family","genus","species"
"147445","Eukaryota","Alveolata","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gyrodinium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota",NA,NA,NA,NA,NA,NA,NA
"14986","Bacteria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"1618","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","Coxiella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"5554","Bacteria","Proteobacteria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"12582","Eukaryota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota",NA,NA,NA,NA,NA,NA,NA
"14401","Eukaryota","Stramenopiles","Pirsoniales","Pirsonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Stramenopiles","Pseudofungi","Pirsonia_Clade","Pirsonia_Clade_X","Pirsonia_Clade_XX","Pirsonia",NA
"144011","Eukaryota","Stramenopiles","Pirsoniales","Pirsonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Stramenopiles",NA,NA,NA,NA,NA,NA
"144012","Eukaryota","Stramenopiles","Pirsoniales","Pirsonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota",NA,NA,NA,NA,NA,NA,NA
"11478","Bacteria","PVC group","Planctomycetes","Phycisphaerae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"22779","Bacteria","unclassified Bacteria","Bacteria candidate phyla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"21417","Bacteria","PVC group","Planctomycetes","Planctomycetia","Planctomycetales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"8653","Bacteria","PVC group","Planctomycetes","Planctomycetia","Planctomycetales","Gemmataceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"4238","Bacteria","PVC group","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"16057","Bacteria","PVC group","Planctomycetes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"167","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"9020","Bacteria","PVC group","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Blastopirellula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"7371","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"9817","Bacteria","Proteobacteria","Oligoflexia","Bacteriovoracales","Bacteriovoracaceae","Peredibacter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"10094","Bacteria","PVC group","Verrucomicrobia","Verrucomicrobiae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"20649","Bacteria","PVC group","Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"19960","Bacteria","PVC group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"7879","Eukaryota","Alveolata","Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-4","Amoebophrya",NA
"78791","Eukaryota","Alveolata","Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Alveolata","Dinoflagellata","Syndiniales",NA,NA,NA,NA
"78792","Eukaryota","Alveolata","Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Alveolata","Dinoflagellata","Dinophyceae",NA,NA,NA,NA
"78793","Eukaryota","Alveolata","Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Alveolata",NA,NA,NA,NA,NA,NA
"78794","Eukaryota","Alveolata","Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota",NA,NA,NA,NA,NA,NA,NA
"6060","Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Protostomia","Ecdysozoa","Panarthropoda","Arthropoda","Mandibulata","Pancrustacea","Crustacea","Multicrustacea","Hexanauplia","Copepoda","Neocopepoda","Gymnoplea","Calanoida","Eukaryota","Opisthokonta","Metazoa","Arthropoda","Crustacea",NA,NA,NA
"60601","Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Protostomia","Ecdysozoa","Panarthropoda","Arthropoda","Mandibulata","Pancrustacea","Crustacea","Multicrustacea","Hexanauplia","Copepoda","Neocopepoda","Gymnoplea","Calanoida","Eukaryota","Opisthokonta","Metazoa","Arthropoda",NA,NA,NA,NA
"60602","Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Protostomia","Ecdysozoa","Panarthropoda","Arthropoda","Mandibulata","Pancrustacea","Crustacea","Multicrustacea","Hexanauplia","Copepoda","Neocopepoda","Gymnoplea","Calanoida","Eukaryota","Opisthokonta","Metazoa",NA,NA,NA,NA,NA
"60603","Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Protostomia","Ecdysozoa","Panarthropoda","Arthropoda","Mandibulata","Pancrustacea","Crustacea","Multicrustacea","Hexanauplia","Copepoda","Neocopepoda","Gymnoplea","Calanoida","Eukaryota","Opisthokonta",NA,NA,NA,NA,NA,NA
"60604","Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Protostomia","Ecdysozoa","Panarthropoda","Arthropoda","Mandibulata","Pancrustacea","Crustacea","Multicrustacea","Hexanauplia","Copepoda","Neocopepoda","Gymnoplea","Calanoida","Eukaryota",NA,NA,NA,NA,NA,NA,NA
"3792","Bacteria","Nitrospinae/Tectomicrobia group","Nitrospinae","Nitrospinia","Nitrospinales","Nitrospinaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"11461","Bacteria","Proteobacteria","delta/epsilon subdivisions","Deltaproteobacteria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"1717","Bacteria","Proteobacteria","Oligoflexia","Oligoflexales","Oligoflexaceae","Oligoflexus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"11829","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"1688","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"13729","Bacteria","Proteobacteria","Oligoflexia","Bacteriovoracales","Bacteriovoracaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"4410","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"23271","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"912","Bacteria","Proteobacteria","delta/epsilon subdivisions","Deltaproteobacteria","Bradymonadales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"10938","Bacteria","PVC group","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"1324","Bacteria","Proteobacteria","delta/epsilon subdivisions","Deltaproteobacteria","Myxococcales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"6041","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"22514","Bacteria","Proteobacteria","delta/epsilon subdivisions","Deltaproteobacteria","Myxococcales","Cystobacterineae","Myxococcaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"23002","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"14649","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"22764","Bacteria","Proteobacteria","delta/epsilon subdivisions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"23275","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"1302","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"7590","Bacteria","FCB group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"7394","Eukaryota","Stramenopiles","Bacillariophyta","Mediophyceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta",NA,NA,NA,NA
"73941","Eukaryota","Stramenopiles","Bacillariophyta","Mediophyceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Stramenopiles",NA,NA,NA,NA,NA,NA
"73942","Eukaryota","Stramenopiles","Bacillariophyta","Mediophyceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota",NA,NA,NA,NA,NA,NA,NA
"10051","Eukaryota","Alveolata","Dinophyceae","Syndiniales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Alveolata","Dinoflagellata","Syndiniales",NA,NA,NA,NA
"100511","Eukaryota","Alveolata","Dinophyceae","Syndiniales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Alveolata","Dinoflagellata","Dinophyceae",NA,NA,NA,NA
"100512","Eukaryota","Alveolata","Dinophyceae","Syndiniales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Alveolata",NA,NA,NA,NA,NA,NA
"100513","Eukaryota","Alveolata","Dinophyceae","Syndiniales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota",NA,NA,NA,NA,NA,NA,NA
"4914","Bacteria","PVC group","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"8222","Eukaryota","Alveolata","Dinophyceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Alveolata","Dinoflagellata","Dinophyceae",NA,NA,NA,NA
"82221","Eukaryota","Alveolata","Dinophyceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Alveolata",NA,NA,NA,NA,NA,NA
"82222","Eukaryota","Alveolata","Dinophyceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota",NA,NA,NA,NA,NA,NA,NA
"22554","Eukaryota","Stramenopiles","Raphidophyceae","Chattonellales","Chattonellaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Stramenopiles","Ochrophyta","Raphidophyceae",NA,NA,NA,NA
"225541","Eukaryota","Stramenopiles","Raphidophyceae","Chattonellales","Chattonellaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Stramenopiles",NA,NA,NA,NA,NA,NA
"225542","Eukaryota","Stramenopiles","Raphidophyceae","Chattonellales","Chattonellaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota",NA,NA,NA,NA,NA,NA,NA
"22977","Archaea","Euryarchaeota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Archaea",NA,NA,NA,NA,NA,NA,NA
"11534","Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Deuterostomia","Chordata","Craniata","Vertebrata","Gnathostomata","Teleostomi","Euteleostomi","Sarcopterygii","Dipnotetrapodomorpha","Tetrapoda","Amniota",NA,NA,"Eukaryota","Archaeplastida","Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","Vertebrata",NA
"115341","Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Deuterostomia","Chordata","Craniata","Vertebrata","Gnathostomata","Teleostomi","Euteleostomi","Sarcopterygii","Dipnotetrapodomorpha","Tetrapoda","Amniota",NA,NA,"Eukaryota","Opisthokonta","Metazoa","Craniata",NA,NA,NA,NA
"115342","Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Deuterostomia","Chordata","Craniata","Vertebrata","Gnathostomata","Teleostomi","Euteleostomi","Sarcopterygii","Dipnotetrapodomorpha","Tetrapoda","Amniota",NA,NA,"Eukaryota","Opisthokonta","Metazoa",NA,NA,NA,NA,NA
"115343","Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Deuterostomia","Chordata","Craniata","Vertebrata","Gnathostomata","Teleostomi","Euteleostomi","Sarcopterygii","Dipnotetrapodomorpha","Tetrapoda","Amniota",NA,NA,"Eukaryota","Opisthokonta",NA,NA,NA,NA,NA,NA
"115344","Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Deuterostomia","Chordata","Craniata","Vertebrata","Gnathostomata","Teleostomi","Euteleostomi","Sarcopterygii","Dipnotetrapodomorpha","Tetrapoda","Amniota",NA,NA,"Eukaryota",NA,NA,NA,NA,NA,NA,NA
"9090","Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Cnidaria","Anthozoa","Hexacorallia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Metazoa","Cnidaria","Cnidaria_X","Anthozoa",NA,NA
"90901","Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Cnidaria","Anthozoa","Hexacorallia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Metazoa","Cnidaria",NA,NA,NA,NA
"90902","Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Cnidaria","Anthozoa","Hexacorallia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Metazoa",NA,NA,NA,NA,NA
"90903","Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Cnidaria","Anthozoa","Hexacorallia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta",NA,NA,NA,NA,NA,NA
"90904","Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Cnidaria","Anthozoa","Hexacorallia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota",NA,NA,NA,NA,NA,NA,NA
"9883","Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Protostomia","Lophotrochozoa","Mollusca","Bivalvia","Heterodonta","Euheterodonta","Veneroida",NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Metazoa","Mollusca","Bivalvia",NA,NA,NA
"98831","Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Protostomia","Lophotrochozoa","Mollusca","Bivalvia","Heterodonta","Euheterodonta","Veneroida",NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Metazoa","Mollusca",NA,NA,NA,NA
"98832","Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Protostomia","Lophotrochozoa","Mollusca","Bivalvia","Heterodonta","Euheterodonta","Veneroida",NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Metazoa",NA,NA,NA,NA,NA
"98833","Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Protostomia","Lophotrochozoa","Mollusca","Bivalvia","Heterodonta","Euheterodonta","Veneroida",NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta",NA,NA,NA,NA,NA,NA
"98834","Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Protostomia","Lophotrochozoa","Mollusca","Bivalvia","Heterodonta","Euheterodonta","Veneroida",NA,NA,NA,NA,NA,NA,"Eukaryota",NA,NA,NA,NA,NA,NA,NA
"13195","Eukaryota","Opisthokonta","Choanoflagellata","Acanthoecida","Stephanoecidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Choanoflagellida","Choanoflagellatea","Acanthoecida",NA,NA,NA
"131951","Eukaryota","Opisthokonta","Choanoflagellata","Acanthoecida","Stephanoecidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta",NA,NA,NA,NA,NA,NA
"131952","Eukaryota","Opisthokonta","Choanoflagellata","Acanthoecida","Stephanoecidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota",NA,NA,NA,NA,NA,NA,NA
"12697","Eukaryota","Cryptophyta","Cryptomonadales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Hacrobia","Cryptophyta","Cryptophyceae","Cryptomonadales",NA,NA,NA
"126971","Eukaryota","Cryptophyta","Cryptomonadales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Hacrobia","Cryptophyta",NA,NA,NA,NA,NA
"126972","Eukaryota","Cryptophyta","Cryptomonadales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota",NA,NA,NA,NA,NA,NA,NA
"18157","Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Protostomia","Lophotrochozoa","Mollusca","Gastropoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Metazoa","Mollusca","Gastropoda",NA,NA,NA
"181571","Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Protostomia","Lophotrochozoa","Mollusca","Gastropoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Metazoa","Mollusca",NA,NA,NA,NA
"181572","Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Protostomia","Lophotrochozoa","Mollusca","Gastropoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Metazoa",NA,NA,NA,NA,NA
"181573","Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Protostomia","Lophotrochozoa","Mollusca","Gastropoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta",NA,NA,NA,NA,NA,NA
"181574","Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Protostomia","Lophotrochozoa","Mollusca","Gastropoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota",NA,NA,NA,NA,NA,NA,NA
"12886","Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Protostomia","Ecdysozoa","Panarthropoda","Arthropoda","Mandibulata","Pancrustacea","Crustacea","Multicrustacea","Hexanauplia","Copepoda","Neocopepoda","Podoplea",NA,"Eukaryota","Opisthokonta","Metazoa","Arthropoda","Crustacea",NA,NA,NA
"128861","Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Protostomia","Ecdysozoa","Panarthropoda","Arthropoda","Mandibulata","Pancrustacea","Crustacea","Multicrustacea","Hexanauplia","Copepoda","Neocopepoda","Podoplea",NA,"Eukaryota","Opisthokonta","Metazoa","Arthropoda",NA,NA,NA,NA
"128862","Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Protostomia","Ecdysozoa","Panarthropoda","Arthropoda","Mandibulata","Pancrustacea","Crustacea","Multicrustacea","Hexanauplia","Copepoda","Neocopepoda","Podoplea",NA,"Eukaryota","Opisthokonta","Metazoa",NA,NA,NA,NA,NA
"128863","Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Protostomia","Ecdysozoa","Panarthropoda","Arthropoda","Mandibulata","Pancrustacea","Crustacea","Multicrustacea","Hexanauplia","Copepoda","Neocopepoda","Podoplea",NA,"Eukaryota","Opisthokonta",NA,NA,NA,NA,NA,NA
"128864","Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Protostomia","Ecdysozoa","Panarthropoda","Arthropoda","Mandibulata","Pancrustacea","Crustacea","Multicrustacea","Hexanauplia","Copepoda","Neocopepoda","Podoplea",NA,"Eukaryota",NA,NA,NA,NA,NA,NA,NA
"7875","Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Protostomia","Ecdysozoa","Panarthropoda","Arthropoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Metazoa","Arthropoda",NA,NA,NA,NA
"78751","Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Protostomia","Ecdysozoa","Panarthropoda","Arthropoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Metazoa",NA,NA,NA,NA,NA
"78752","Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Protostomia","Ecdysozoa","Panarthropoda","Arthropoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta",NA,NA,NA,NA,NA,NA
