"","x"
"449","Labyrinthulomycetes_fa"
"450","Heterotrichea_fa"
"451","Eugregarinorida"
"452","Perkinsidae_fa"
"453","Gonyaulacales_fa"
"454","Ustilaginaceae"
"455","Dothideaceae"
"456","Granofilosea_fa"
"457","Teuthida"
"458","Malasseziaceae"
"459","Orbiniidae"
"460","Imbricatea_fa"
"461","Nucleariidae"
"462","Marimonadida_fa"
"463","Spongomonadida_fa"
"464","Gomphaceae"
"465","Crepidotaceae"
"466","Codonosigidae_fa"
"467","Harrimaniidae"
"468","Cercozoa_fa"
"469","Incertae Sedis_9"
"470","Ebriacea_fa"
"471","Glissomonadida_fa"
"472","Filobasidiaceae"
"473","Herpotrichiellaceae"
"474","Sclerotiniaceae"
"475","Erysiphaceae"
"476","Didymellaceae"
"477","Parmeliaceae"
"478","Pleosporaceae"
"479","Phaeosphaeriaceae"
"480","Trichomeriaceae"
"481","Teratosphaeriaceae"
"482","Xylariaceae"
"483","Incertae Sedis_12"
"484","Aureobasidiaceae"
"485","Incertae Sedis_25"
"486","Mrakiaceae"
"487","Trichosporonaceae"
"488","Bulleribasidiaceae"
"489","Metschnikowiaceae"
"490","Hymenochaetaceae"
"491","Incertae Sedis_19"
"492","Incertae Sedis_30"
"493","Debaryomycetaceae"
"494","Melampsoraceae"
"495","Pichiaceae"
"496","Rhizophydiaceae"
"497","Phaffomycetaceae"
"498","Saccharomycetales_fa"
"499","Kondoaceae"
"500","Corticiaceae"
"501","Robbaueraceae"
"502","Pavlovophyceae_fa"
"503","Centramoebida_fa"
"504","Codosigidae_fa"
"505","Dipodascaceae"
"506","Ptychoderidae"
"507","Bdelloidea_fa"
"508","Phaeocystina_fa"
"509","Incertae Sedis_4_fa"
"510","Phaeogromia_fa"
"511","Microstromatales_fa"
"512","Paraonidae"
"513","Pucciniaceae"
"514","Saccharomycetaceae"
"515","Saccharomycodaceae"
"516","Isochrysidales_fa"
"517","Dinophysiales_fa"
"518","Collodaria_fa"
"519","Protalveolata_fa"
"520","Peridiniales_fa"
"521","Noctilucales_fa"
"522","Nassellaria_fa"
"523","Gracilipodida_fa"
"524","Haplosporida_fa"
"525","Apusomonadidae_fa"
"526","Paradiniidae"
"527","Incertae Sedis_2"
"528","Kathablepharidae_fa"
"529","Ancyromonadida_fa"
"530","Syndiniales Group III"
"531","Syndiniales Group V"
"532","Coccolithales_fa"
"533","Pseudoscourfieldiales_fa"
"534","Compsopogonales_fa"
"535","Mamiellophyceae_fa"
"536","Dolichomastigales_fa"
"537","Ellobiopsidae_fa"
"538","Phytomyxea_fa"
"539","Prorocentrales_fa"
"540","Cryptosporida_fa"
"541","Corallinophycidae_fa"
"542","Rhodymeniophycidae_fa"
"543","Archigregarinorida"
"544","Chaunocanthida_fa"
"545","Arthracanthida_fa"
"546","Symphyacanthida_fa"
"547","Sphaeropleales_fa"
"548","Spirotrichea_fa"
"549","IN2411"
"550","Miliolida"
"551","Pseudoparrellidae"
"552","Incertae Sedis_8_fa"
"553","Incertae Sedis_31"
"554","Vannellida_fa"
"555","Breviatea_fa"
"556","Protosteliida_fa"
"557","Heteronematina_fa"
"558","Kinetoplastea_fa"
"559","Neobodonida_fa"
"560","Trypanosomatida_fa"
"561","Eubodonida_fa"
"562","Nitrosopumilaceae"
"563","Thermoplasmata_or"
"564","Silvanigrellales"
"565","Rickettsiales"
"566","SG8-5"
"567","Methanomassiliicoccales"
"568","Marine Group II"
"569","Marine Benthic Group D and DHVEG-1"
"570","Rhodobacterales"
"571","Coxiellales"
"572","SAR11 clade"
"573","MSBL9"
"574","Candidatus Peribacteria"
"575","Planctomycetales"
"576","Isosphaerales"
"577","Brocadiales"
"578","Gemmatales"
"579","Pirellulales"
"580","Holosporales"
"581","JGI 0000069-P22"
"582","Candidatus Peregrinibacteria"
"583","Phycisphaerales"
"584","Tepidisphaerales"
"585","Nitrospinales"
"586","Desulfovibrionales"
"587","0319-6G20"
"588","Caldatribacteriales"
"589","Desulfobulbales"
"590","Nitrospirales"
"591","Oligoflexales"
"592","Bdellovibrionales"
"593","Desulfobacterales"
"594","Piscirickettsiales"
"595","Sva1033"
"596","Bacteriovoracales"
"597","PB19"
"598","Desulfuromonadia_or"
"599","Rhizobiales"
"600","Enterobacterales"
"601","Sphingomonadales"
"602","Acetobacterales"
"603","Oscillospirales"
"604","Clostridiales"
"605","Caulobacterales"
"606","Rhodospirillales"
"607","Lactobacillales"
"608","Oceanospirillales"
"609","Polyangiales"
"610","Salinisphaerales"
"611","KI89A clade"
"612","SAR86 clade"
"613","Myxococcales"
"614","Burkholderiales"
"615","Pseudomonadales"
"616","Campylobacterales"
"617","Actinomarinales"
"618","Parvibaculales"
"619","Puniceispirillales"
"620","Blfdi19"
"621","mle1-27"
"622","Verrucomicrobiales"
"623","Haliangiales"
"624","Nannocystales"
"625","Alteromonadales"
"626","Francisellales"
"627","MBAE14"
"628","OM182 clade"
"629","Cellvibrionales"
"630","Pasteurellales"
"631","Ga0077536"
"632","I3A"
"633","VHS-B3-70"
"634","Alphaproteobacteria Incertae Sedis"
"635","Milano-WF1B-44"
"636","Thalassobaculales"
"637","AT-s3-44"
"638","053A03-B-DI-P58"
"639","Mediophyceae_or"
"640","Opitutales"
"641","Vicinamibacterales"
"642","Blastocatellales"
"643","Subgroup 7"
"644","Thermoanaerobaculales"
"645","Bryobacterales"
"646","SS1-B-02-17"
"647","Pedosphaerales"
"648","Arctic97B-4 marine group"
"649","P.palmC41"
"650","Chthoniobacterales"
"651","Victivallales"
"652","Lentisphaerales"
"653","Chattonellales"
"654","Methanobacteriales"
"655","Longimicrobiales"
"656","Gemmatimonadales"
"657","Calanoida"
"658","Ministeriida"
"659","Veneroida"
"660","Choanoflagellida_or"
"661","Doliolida"
"662","Cyclopoida"
"663","Tremellales"
"664","Sporidiobolales"
"665","Abeoformidae"
"666","Phyllodocida"
"667","Eukaryota_or"
"668","Chlorarachniophyta_or"
"669","Picomonadidae"
"670","Syndiniales_or"
"671","Nephroselmidales"
"672","Gymnodiniphycidae"
"673","Tetramitia_or"
"674","Diplonemea_or"
"675","Peronosporomycetes_or"
"676","Pelagomonadales"
"677","Bicosoecida_or"
"678","Bacillariophyceae_or"
"679","Incertae Sedis_3_or"
"680","Labyrinthulomycetes_or"
"681","Prymnesiophyceae_or"
"682","Diatomea_or"
"683","Ochromonadales"
"684","Chromulinales"
"685","Raphidophyceae_or"
"686","Eustigmatales"
"687","Eurotiales"
"688","Imbricatea_or"
"689","Fragilariales"
"690","SSRPB68"
"691","Copelata"
"692","Sarcinochrysidales"
"693","Ploimida"
"694","Cydippida"
"695","Dinophyceae_or"
"696","Subclade B"
