"Kingdom","Supergroup","Division","Class","Order","Family","Genus","Species","kingdom","supergroup","division","class","order","family","genus","species"
"Eukaryota","Archaeplastida","Rhodophyta","Florideophyceae","Hildenbrandiales","Hildenbrandiales_X","Apophlaea","Apophlaea_lyallii","Eukaryota","Archaeplastida","Rhodophyta","Florideophyceae","Hildenbrandiales","Hildenbrandiales_X","Apophlaea",NA
"Eukaryota","Excavata","Discoba","Jakobida","Jakobida_X","Jakobidae","Reclinomonas","Reclinomonas_americana","Eukaryota","Excavata","Discoba","Jakobida","Jakobida_X","Jakobidae","Reclinomonas",NA
"Eukaryota","Excavata","Metamonada","Parabasalia","Trichomonadida","Free-living-Monocercomonadidae","Ditrichomonas","Ditrichomonas_honigbergii","Eukaryota","Excavata","Metamonada","Parabasalia","Trichomonadida","Free-living-Monocercomonadidae","Ditrichomonas",NA
"Eukaryota","Rhizaria","Radiolaria","Polycystinea","Nassellaria","Pterocoryothoidea","Pterocorys","Pterocorys_zancleus","Eukaryota","Rhizaria","Radiolaria","Polycystinea","Nassellaria","Pterocoryothoidea","Pterocorys",NA
"Eukaryota","Archaeplastida","Chlorophyta","Trebouxiophyceae","Watanabea-Clade","Watanabea-Clade_X","Heterochlorella","Heterochlorella_sp.","Eukaryota","Archaeplastida","Chlorophyta","Trebouxiophyceae","Watanabea-Clade","Watanabea-Clade_X","Heterochlorella",NA
"Eukaryota","Rhizaria","Radiolaria","Polycystinea","Nassellaria","Pterocoryothoidea","Pterocorys","Pterocorys_sp.","Eukaryota","Rhizaria","Radiolaria","Polycystinea","Nassellaria","Pterocoryothoidea","Pterocorys",NA
"Eukaryota","Rhizaria","Radiolaria","Polycystinea","Nassellaria","Artostroboidea","Artostrobus","Artostrobus_sp.","Eukaryota","Rhizaria","Radiolaria","Polycystinea","Nassellaria","Artostroboidea","Artostrobus",NA
"Eukaryota","Rhizaria","Radiolaria","Polycystinea","Nassellaria","Pterocoryothoidea","Pterocanium","Pterocanium_sp.","Eukaryota","Rhizaria","Radiolaria","Polycystinea","Nassellaria","Pterocoryothoidea","Pterocanium",NA
"Eukaryota","Alveolata","Apicomplexa","Gregarinomorphea","Gregarines","Gregarines_X","Selenidium1","Selenidium1_serpulae","Eukaryota","Alveolata","Apicomplexa","Gregarinomorphea","Gregarines","Gregarines_X","Selenidium1",NA
"Eukaryota","Rhizaria","Radiolaria","Polycystinea","Nassellaria","Acanthodesmoidea","Ceratospyris","Ceratospyris_sp.","Eukaryota","Rhizaria","Radiolaria","Polycystinea","Nassellaria","Acanthodesmoidea","Ceratospyris",NA
